source_city,destination,product_category,shipping_method,order_quantity,delivery_time
Mumbai,Pune,Groceries,Standard,94,27.4
Mumbai,Kolkata,Clothing,Standard,67,54.0
Mumbai,Sri Lanka,Groceries,Overnight,14,25.92
Mumbai,Nepal,Furniture,Express,11,43.4
Mumbai,Chennai,Groceries,Express,40,26.64
Mumbai,Pune,Electronics,Standard,87,30.4
Mumbai,Bangladesh,Electronics,Standard,96,70.4
Mumbai,Bangalore,Furniture,Standard,3,34.0
Mumbai,Pune,Groceries,Standard,1,2.4000000000000004
Mumbai,Sri Lanka,Furniture,Standard,9,59.2
Mumbai,Sri Lanka,Furniture,Standard,73,83.2
Mumbai,Nepal,Furniture,Standard,76,83.0
Mumbai,Chennai,Furniture,Standard,1,37.8
Mumbai,Kolkata,Groceries,Overnight,16,19.2
Mumbai,Nepal,Clothing,Standard,94,64.0
Mumbai,Nepal,Furniture,Express,72,72.4
Mumbai,Bangalore,Groceries,Standard,46,29.0
Mumbai,Hyderabad,Electronics,Standard,10,14.200000000000003
Mumbai,Chennai,Groceries,Standard,33,34.8
Mumbai,Delhi,Groceries,Standard,41,36.400000000000006
Mumbai,Nepal,Furniture,Standard,51,79.0
Mumbai,Hyderabad,Groceries,Standard,22,20.200000000000003
Mumbai,Delhi,Clothing,Express,16,17.92
Mumbai,Chennai,Furniture,Standard,83,61.8
Mumbai,Mumbai,Furniture,Standard,75,41.0
Mumbai,Bangladesh,Groceries,Standard,62,63.400000000000006
Mumbai,Hyderabad,Clothing,Standard,53,32.2
Mumbai,Bhutan,Clothing,Express,75,54.28
Mumbai,Mumbai,Groceries,Standard,14,2.0
Mumbai,Sri Lanka,Electronics,Standard,59,74.2
Mumbai,Sri Lanka,Clothing,Standard,26,57.2
Mumbai,Bangladesh,Groceries,Express,44,44.720000000000006
Mumbai,Bangalore,Clothing,Standard,20,17.0
Mumbai,Pune,Clothing,Express,84,25.92
Mumbai,Kolkata,Electronics,Standard,5,38.0
Mumbai,Bhutan,Clothing,Express,65,58.28
Mumbai,Bangalore,Groceries,Overnight,11,8.6
Mumbai,Chennai,Clothing,Express,47,29.64
Mumbai,Bangalore,Electronics,Standard,10,21.0
Mumbai,Pune,Groceries,Standard,61,26.4
Mumbai,Chennai,Furniture,Standard,92,63.8
Mumbai,Bhutan,Groceries,Standard,45,52.6
Mumbai,Pune,Electronics,Standard,47,18.4
Mumbai,Delhi,Clothing,Express,34,27.92
Mumbai,Kolkata,Furniture,Standard,13,51.0
Mumbai,Bhutan,Clothing,Standard,89,62.599999999999994
Mumbai,Delhi,Groceries,Express,23,30.92
Mumbai,Bangladesh,Clothing,Standard,36,50.400000000000006
Mumbai,Bhutan,Clothing,Express,63,57.28
Mumbai,Bangladesh,Furniture,Express,76,67.12
Mumbai,Chennai,Groceries,Overnight,47,23.48
Mumbai,Delhi,Groceries,Express,66,39.92
Mumbai,Kolkata,Clothing,Standard,84,55.0
Mumbai,Pune,Electronics,Standard,80,33.4
Mumbai,Nepal,Groceries,Standard,14,37.0
Mumbai,Bangalore,Groceries,Standard,53,40.0
Mumbai,Mumbai,Electronics,Standard,66,31.0
Mumbai,Kolkata,Electronics,Express,49,40.4
Mumbai,Delhi,Electronics,Standard,16,30.400000000000002
Mumbai,Nepal,Furniture,Standard,68,84.0
Mumbai,Kolkata,Groceries,Express,43,38.6
Mumbai,Delhi,Furniture,Standard,77,61.400000000000006
Mumbai,Hyderabad,Electronics,Standard,65,40.2
Mumbai,Hyderabad,Furniture,Standard,9,26.200000000000003
Mumbai,Bangladesh,Electronics,Express,21,45.52
Mumbai,Kolkata,Groceries,Express,82,46.6
Mumbai,Hyderabad,Furniture,Express,96,47.36
Mumbai,Delhi,Clothing,Standard,98,48.400000000000006
Mumbai,Bangladesh,Clothing,Express,84,51.720000000000006
Mumbai,Delhi,Electronics,Standard,43,41.400000000000006
Mumbai,Bangladesh,Electronics,Standard,66,67.4
Mumbai,Kolkata,Groceries,Standard,4,32.0
Mumbai,Nepal,Groceries,Standard,7,40.0
Mumbai,Pune,Groceries,Standard,86,26.4
Mumbai,Bhutan,Groceries,Express,84,55.28
Mumbai,Nepal,Groceries,Standard,58,62.0
Mumbai,Chennai,Electronics,Standard,99,51.8
Mumbai,Delhi,Electronics,Standard,4,27.400000000000002
Mumbai,Chennai,Furniture,Standard,20,35.8
Mumbai,Nepal,Electronics,Standard,35,59.0
Mumbai,Bangladesh,Groceries,Express,97,52.720000000000006
Mumbai,Bhutan,Electronics,Express,59,63.08
Mumbai,Bhutan,Groceries,Express,85,56.28
Mumbai,Mumbai,Groceries,Express,45,13.0
Mumbai,Bhutan,Clothing,Standard,14,43.6
Mumbai,Pune,Clothing,Express,95,27.92
Mumbai,Bhutan,Groceries,Standard,22,53.6
Mumbai,Nepal,Clothing,Standard,48,49.0
Mumbai,Mumbai,Electronics,Standard,30,16.0
Mumbai,Nepal,Groceries,Standard,29,50.0
Mumbai,Nepal,Electronics,Standard,36,60.0
Mumbai,Sri Lanka,Furniture,Standard,42,72.2
Mumbai,Bangalore,Groceries,Standard,29,27.0
Mumbai,Mumbai,Electronics,Express,7,3.8
Mumbai,Nepal,Groceries,Standard,32,50.0
Mumbai,Bangalore,Groceries,Standard,13,16.0
Mumbai,Bangalore,Clothing,Express,13,9.8
Mumbai,Mumbai,Clothing,Standard,54,23.0
Mumbai,Sri Lanka,Clothing,Express,14,32.56
Mumbai,Chennai,Clothing,Express,6,16.64
Mumbai,Bangladesh,Electronics,Standard,16,43.400000000000006
Mumbai,Pune,Clothing,Standard,41,13.4
Mumbai,Bangladesh,Clothing,Standard,52,59.400000000000006
Mumbai,Bhutan,Groceries,Standard,85,67.6
Mumbai,Pune,Groceries,Standard,16,0.5999999999999996
Mumbai,Bhutan,Groceries,Standard,5,42.6
Mumbai,Nepal,Groceries,Standard,24,54.0
Mumbai,Delhi,Furniture,Standard,43,54.400000000000006
Mumbai,Mumbai,Groceries,Standard,65,26.0
Mumbai,Pune,Groceries,Express,10,0.9200000000000004
Mumbai,Pune,Clothing,Standard,59,27.4
Mumbai,Nepal,Furniture,Express,35,56.4
Mumbai,Chennai,Electronics,Standard,31,35.8
Mumbai,Bangalore,Clothing,Express,79,38.8
Mumbai,Nepal,Groceries,Standard,11,42.0
Mumbai,Hyderabad,Electronics,Standard,9,17.200000000000003
Mumbai,Sri Lanka,Electronics,Standard,66,72.2
Mumbai,Bangalore,Groceries,Standard,44,27.0
Mumbai,Mumbai,Groceries,Standard,94,25.0
Mumbai,Bangalore,Groceries,Standard,16,13.0
Mumbai,Chennai,Furniture,Standard,48,52.8
Mumbai,Bangalore,Electronics,Standard,53,48.0
Mumbai,Mumbai,Electronics,Standard,65,31.0
Mumbai,Chennai,Groceries,Standard,48,31.799999999999997
Mumbai,Bangladesh,Clothing,Standard,70,59.400000000000006
Mumbai,Pune,Groceries,Overnight,46,12.44
Mumbai,Pune,Electronics,Standard,75,29.4
Mumbai,Sri Lanka,Clothing,Express,33,45.56
Mumbai,Bhutan,Groceries,Standard,52,65.6
Mumbai,Bangladesh,Groceries,Standard,81,64.4
Mumbai,Bangladesh,Groceries,Standard,55,63.400000000000006
Mumbai,Bangalore,Clothing,Standard,51,37.0
Mumbai,Pune,Clothing,Express,98,26.92
Mumbai,Mumbai,Electronics,Standard,40,15.0
Mumbai,Kolkata,Electronics,Express,25,39.4
Mumbai,Kolkata,Clothing,Standard,63,58.0
Mumbai,Chennai,Clothing,Standard,22,29.799999999999997
Mumbai,Pune,Groceries,Standard,90,25.4
Mumbai,Pune,Clothing,Standard,91,24.4
Mumbai,Sri Lanka,Groceries,Standard,38,54.2
Mumbai,Kolkata,Furniture,Standard,9,48.0
Mumbai,Pune,Clothing,Standard,37,16.4
Mumbai,Sri Lanka,Electronics,Overnight,5,31.52
Mumbai,Bangalore,Electronics,Standard,82,45.0
Mumbai,Hyderabad,Groceries,Express,22,18.96
Mumbai,Delhi,Clothing,Standard,12,24.400000000000002
Mumbai,Bangladesh,Electronics,Standard,60,65.4
Mumbai,Bhutan,Groceries,Express,44,42.28
Mumbai,Chennai,Electronics,Express,22,31.439999999999998
Mumbai,Hyderabad,Groceries,Standard,6,9.200000000000001
Mumbai,Kolkata,Groceries,Standard,27,45.0
Mumbai,Sri Lanka,Groceries,Standard,55,64.2
Mumbai,Bangladesh,Electronics,Express,15,34.52
Mumbai,Pune,Furniture,Standard,64,45.4
Mumbai,Bhutan,Groceries,Express,17,31.28
Mumbai,Pune,Clothing,Standard,3,4.4
Mumbai,Mumbai,Electronics,Standard,10,5.0
Mumbai,Mumbai,Clothing,Express,63,24.0
Mumbai,Bhutan,Furniture,Overnight,63,59.76
Mumbai,Sri Lanka,Furniture,Standard,89,87.2
Mumbai,Bhutan,Groceries,Express,62,57.28
Mumbai,Kolkata,Furniture,Express,85,66.0
Mumbai,Bhutan,Electronics,Express,9,37.08
Mumbai,Bangalore,Electronics,Overnight,24,27.2
Mumbai,Pune,Furniture,Standard,32,30.4
Mumbai,Hyderabad,Groceries,Express,3,7.960000000000001
Mumbai,Nepal,Clothing,Express,33,45.0
Mumbai,Sri Lanka,Groceries,Standard,43,56.2
Mumbai,Bhutan,Furniture,Standard,12,59.6
Mumbai,Chennai,Groceries,Standard,93,42.8
Mumbai,Mumbai,Furniture,Express,85,39.4
Mumbai,Bangalore,Groceries,Express,98,33.8
Mumbai,Bangladesh,Electronics,Standard,97,65.4
Mumbai,Nepal,Furniture,Standard,32,70.0
Mumbai,Sri Lanka,Electronics,Standard,20,49.2
Mumbai,Hyderabad,Furniture,Standard,67,53.2
Mumbai,Nepal,Clothing,Standard,68,65.0
Mumbai,Bhutan,Groceries,Standard,17,39.6
Mumbai,Kolkata,Clothing,Express,81,51.6
Mumbai,Mumbai,Electronics,Standard,19,8.0
Mumbai,Mumbai,Clothing,Overnight,4,0.0
Mumbai,Bangladesh,Furniture,Standard,93,79.4
Mumbai,Kolkata,Furniture,Overnight,17,30.0
Mumbai,Pune,Clothing,Standard,64,28.4
Mumbai,Delhi,Furniture,Express,22,46.32000000000001
Mumbai,Bangalore,Furniture,Standard,66,60.0
Mumbai,Mumbai,Groceries,Standard,42,13.0
Mumbai,Chennai,Electronics,Standard,76,48.8
Mumbai,Mumbai,Furniture,Standard,45,30.0
Mumbai,Nepal,Groceries,Express,11,29.0
Mumbai,Mumbai,Furniture,Standard,53,42.0
Mumbai,Sri Lanka,Furniture,Overnight,60,60.72
Mumbai,Mumbai,Furniture,Standard,29,28.0
Mumbai,Delhi,Groceries,Overnight,20,12.440000000000001
Mumbai,Delhi,Clothing,Standard,5,22.400000000000002
Mumbai,Hyderabad,Clothing,Standard,25,23.200000000000003
Mumbai,Pune,Clothing,Standard,34,16.4
Mumbai,Chennai,Electronics,Express,12,22.44
Mumbai,Mumbai,Groceries,Standard,28,10.0
Mumbai,Mumbai,Groceries,Standard,98,25.0
Mumbai,Bangalore,Furniture,Standard,6,36.0
Mumbai,Delhi,Electronics,Standard,19,28.400000000000002
Mumbai,Chennai,Groceries,Standard,12,20.8
Mumbai,Bangladesh,Electronics,Standard,25,53.400000000000006
Mumbai,Hyderabad,Electronics,Express,13,14.760000000000002
Mumbai,Pune,Electronics,Express,81,32.72
Mumbai,Kolkata,Groceries,Express,76,47.6
Mumbai,Pune,Electronics,Standard,3,8.4
Mumbai,Sri Lanka,Groceries,Standard,24,52.2
Mumbai,Nepal,Clothing,Overnight,8,21.0
Mumbai,Sri Lanka,Furniture,Standard,90,84.2
Mumbai,Mumbai,Furniture,Standard,45,28.0
Mumbai,Hyderabad,Furniture,Express,72,44.36
Mumbai,Nepal,Furniture,Standard,96,80.0
Mumbai,Chennai,Furniture,Standard,96,62.8
Mumbai,Kolkata,Furniture,Standard,1,49.0
Mumbai,Delhi,Groceries,Standard,3,24.400000000000002
Mumbai,Hyderabad,Electronics,Standard,65,39.2
Mumbai,Hyderabad,Clothing,Standard,15,13.200000000000001
Mumbai,Sri Lanka,Clothing,Standard,50,54.2
Mumbai,Mumbai,Groceries,Express,20,2.0
Mumbai,Bhutan,Groceries,Standard,3,39.6
Mumbai,Sri Lanka,Furniture,Express,61,74.96000000000001
Mumbai,Hyderabad,Furniture,Standard,15,27.200000000000003
Mumbai,Bangalore,Clothing,Express,59,37.8
Mumbai,Kolkata,Groceries,Express,54,48.6
Mumbai,Sri Lanka,Furniture,Express,60,70.96000000000001
Mumbai,Kolkata,Clothing,Express,37,38.6
Mumbai,Bangalore,Groceries,Standard,21,29.0
Mumbai,Bangladesh,Clothing,Standard,23,49.400000000000006
Mumbai,Bangalore,Groceries,Standard,99,40.0
Mumbai,Bangalore,Clothing,Standard,18,15.0
Mumbai,Kolkata,Furniture,Standard,17,48.0
Mumbai,Pune,Groceries,Standard,31,14.4
Mumbai,Kolkata,Electronics,Standard,64,61.0
Mumbai,Bhutan,Clothing,Overnight,48,35.96
Mumbai,Mumbai,Clothing,Express,26,11.0
Mumbai,Nepal,Furniture,Standard,22,69.0
Mumbai,Pune,Groceries,Standard,45,14.4
Mumbai,Delhi,Clothing,Express,36,27.92
Mumbai,Nepal,Clothing,Standard,64,65.0
